name,version,homepage,summary,license
multi_json,1.15.0,https://github.com/intridea/multi_json,A common interface to multiple JSON libraries.,MIT
multi_xml,0.6.0,https://github.com/sferik/multi_xml,A generic swappable back-end for XML parsing,MIT
multipart-post,2.1.1,https://github.com/nicksieger/multipart-post,A multipart form post accessory for Net::HTTP.,MIT
mustermann,1.1.1,https://github.com/sinatra/mustermann,Your personal string matching expert.,MIT
naught,1.1.0,https://github.com/avdi/naught,Naught is a toolkit for building Null Objects,MIT
net-http-digest_auth,1.4.1,http://github.com/drbrain/net-http-digest_auth,An implementation of RFC 2617 - Digest Access Authentication,MIT
net-http-persistent,4.0.1,https://github.com/drbrain/net-http-persistent,Manages persistent connections using Net::HTTP including a thread pool for connecting to multiple hosts,MIT
netrc,0.11.0,https://github.com/geemus/netrc,Library to read and write netrc files.,MIT
nio4r,2.5.8,https://github.com/socketry/nio4r,New IO for Ruby,MIT
nokogiri,1.13.2,https://nokogiri.org,Nokogiri (鋸) makes it easy and painless to work with XML and HTML from Ruby.,MIT
numerizer,0.1.1,http://github.com/jduff/numerizer,Numerizer is a gem to help with parsing numbers in natural language from strings (ex forty two).,MIT
oauth,0.5.8,https://github.com/oauth-xx/oauth-ruby,OAuth Core Ruby implementation,MIT
oauth2,1.4.9,https://github.com/oauth-xx/oauth2,A Ruby wrapper for the OAuth 2.0 protocol.,MIT
omniauth,1.9.1,https://github.com/omniauth/omniauth,A generalized Rack framework for multiple-provider authentication.,MIT
omniauth-facebook,9.0.0,https://github.com/simi/omniauth-facebook,Facebook OAuth2 Strategy for OmniAuth,MIT
omniauth-google-oauth2,0.2.6,"",A Google OAuth2 strategy for OmniAuth 1.x,MIT
omniauth-oauth,1.2.0,https://github.com/intridea/omniauth-oauth,A generic OAuth (1.0/1.0a) strategy for OmniAuth.,MIT
omniauth-oauth2,1.3.1,https://github.com/intridea/omniauth-oauth2,An abstract OAuth2 strategy for OmniAuth.,MIT
omniauth-slack,2.3.0,https://github.com/kmrshntr/omniauth-slack.git,OmniAuth strategy for Slack,MIT
omniauth-twitter,1.4.0,https://github.com/arunagw/omniauth-twitter,OmniAuth strategy for Twitter,MIT
open_uri_redirections,0.2.1,https://github.com/jaimeiniesta/open_uri_redirections,OpenURI patch to allow redirections between HTTP and HTTPS,MIT
orm_adapter,0.5.0,http://github.com/ianwhite/orm_adapter,orm_adapter provides a single point of entry for using basic features of popular ruby ORMs.  Its target audience is gem authors who want to support many ruby ORMs.,MIT
os,1.1.4,http://github.com/rdp/os,"Simple and easy way to know if you're on windows or not (reliably), as well as how many bits the OS is, etc.",MIT
pact,1.62.0,https://github.com/pact-foundation/pact-ruby,"Enables consumer driven contract testing, providing a mock service and DSL for the consumer project, and interaction playback and verification for the service provider project.",MIT
pact-consumer-minitest,1.0.1,"",Provides Minitest support for the Pact Consumer gem,MIT
pact-mock_service,3.10.0,https://github.com/bethesque/pact-mock_service,Provides a mock service for use with Pact,MIT
pact-support,1.17.0,https://github.com/pact-foundation/pact-support,Shared code for Pact gems,MIT
paper_trail,10.3.1,https://github.com/paper-trail-gem/paper_trail,Track changes to your models.,MIT
parallel,1.22.0,https://github.com/grosser/parallel,Run any kind of code in parallel processes,MIT
parallel_tests,3.7.3,https://github.com/grosser/parallel_tests,Run Test::Unit / RSpec / Cucumber / Spinach in parallel,MIT
parse-cron,0.1.4,https://github.com/siebertm/parse-cron,Parses cron expressions and calculates the next occurence,MIT
parser,2.7.2.0,https://github.com/whitequark/parser,A Ruby parser written in pure Ruby.,MIT
parslet,2.0.0,http://kschiess.github.io/parslet,Parser construction library with great error reporting in Ruby.,MIT
peek,1.1.0,https://github.com/peek/peek,Take a peek into your Rails application.,MIT
peek-rblineprof,0.2.0,https://github.com/peek/peek-rblineprof,Peek into how much each line of your Rails application takes throughout a request.,MIT
pender_client,0.0.4,https://github.com/meedan/pender-client,"[""A parsing and rendering service (Client)""]",MIT
pghero,2.8.1,https://github.com/ankane/pghero,A performance dashboard for Postgres,MIT
phony,2.19.9,https://github.com/floere/phony,"Fast international phone number (E164 standard) normalizing, splitting and formatting.",MIT
phony_rails,0.15.0,https://github.com/joost/phony_rails,"This Gem adds useful methods to your Rails app to validate, display and save phone numbers.",MIT
powerpack,0.1.3,https://github.com/bbatsov/powerpack,A few useful extensions to core Ruby classes.,MIT
public_suffix,4.0.6,https://simonecarletti.com/code/publicsuffix-ruby,Domain name parser based on the Public Suffix List.,MIT
pusher,2.0.2,http://github.com/pusher/pusher-http-ruby,Pusher Channels API client,MIT
pusher-signature,0.1.8,http://github.com/pusher/pusher-signature,Simple key/secret based authentication for apis,MIT
raabro,1.4.0,https://github.com/floraison/raabro,a very dumb PEG parser library,MIT
rack,2.2.3,https://github.com/rack/rack,A modular Ruby webserver interface.,MIT
rack-cors,1.0.6,https://github.com/cyu/rack-cors,Middleware for enabling Cross-Origin Resource Sharing in Rack apps,MIT
rack-protection,2.1.0,http://sinatrarb.com/protection/,"Protect against typical web attacks, works with all Rack apps, including Rails.",MIT
rack-test,1.1.0,http://github.com/rack-test/rack-test,Simple testing API built on Rack,MIT
rails,5.2.6.3,http://rubyonrails.org,Full-stack web application framework.,MIT
rails-controller-testing,1.0.5,https://github.com/rails/rails-controller-testing,Extracting `assigns` and `assert_template` from ActionDispatch.,MIT
rails-dom-testing,2.0.3,https://github.com/rails/rails-dom-testing,Dom and Selector assertions for Rails applications,MIT
rails-graphql-generator,0.1.0,https://github.com/movielala/rails-graphql-generator,A rails generator for GrapphQL.,MIT
rails-html-sanitizer,1.0.4,https://github.com/rails/rails-html-sanitizer,This gem is responsible to sanitize HTML fragments in Rails applications.,MIT
rails-i18n,5.1.3,http://github.com/svenfuchs/rails-i18n,Common locale data and translations for Rails i18n.,MIT
railties,5.2.6.3,http://rubyonrails.org,"Tools for creating, working with, and running Rails applications.",MIT
rainbow,2.2.2,https://github.com/sickill/rainbow,Colorize printed text on ANSI terminals,MIT
rake,13.0.6,https://github.com/ruby/rake,Rake is a Make-like program implemented in Ruby,MIT
rb-fsevent,0.11.1,http://rubygems.org/gems/rb-fsevent,Very simple & usable FSEvents API,MIT
rb-inotify,0.10.1,https://github.com/guard/rb-inotify,"A Ruby wrapper for Linux inotify, using FFI",MIT
rblineprof,0.3.7,http://github.com/tmm1/rblineprof,line-profiler for ruby,MIT
rbtree3,0.7.0,https://github.com/kyrylo/rbtree3,A RBTree is a sorted associative collection that is implemented with a Red-Black Tree.,MIT
redis,4.5.1,https://github.com/redis/redis-rb,A Ruby client library for Redis,MIT
redis-actionpack,5.3.0,http://redis-store.org/redis-actionpack,Redis session store for ActionPack,MIT
redis-activesupport,5.3.0,http://redis-store.org/redis-activesupport,Redis store for ActiveSupport,MIT
redis-namespace,1.8.2,https://github.com/resque/redis-namespace,Namespaces Redis commands.,MIT
redis-rack,2.1.4,http://redis-store.org/redis-rack,Redis Store for Rack,MIT
redis-rails,5.0.2,http://redis-store.org/redis-rails,Redis for Ruby on Rails,MIT
redis-store,1.9.1,http://redis-store.org/redis-store,Redis stores for Ruby frameworks,MIT
ref,2.0.0,http://github.com/ruby-concurrency/ref,"Library that implements weak, soft, and strong references in Ruby.",MIT
representable,3.1.1,https://github.com/trailblazer/representable/,"Renders and parses JSON/XML/YAML documents from and to Ruby objects. Includes plain properties, collections, nesting, coercion and more.",MIT
request_store,1.5.1,https://github.com/steveklabnik/request_store,RequestStore gives you per-request global storage.,MIT
request_store-sidekiq,0.1.0,https://github.com/madebylotus/request_store-sidekiq,Easily integrate RequestStore with Sidekiq as a middleware,MIT
responders,3.0.1,https://github.com/heartcombo/responders,A set of Rails responders to dry up your application,MIT
rest-client,2.1.0,https://github.com/rest-client/rest-client,"Simple HTTP and REST client for Ruby, inspired by microframework syntax for specifying actions.",MIT
retriable,3.1.2,http://github.com/kamui/retriable,Retriable is a simple DSL to retry failed code blocks with randomized exponential backoff,MIT
rotp,6.2.0,https://github.com/mdp/rotp,A Ruby library for generating and verifying one time passwords,MIT
rqrcode,2.1.1,https://github.com/whomwah/rqrcode,A library to encode QR Codes,MIT
rqrcode_core,1.2.0,https://github.com/whomwah/rqrcode_core,A library to encode QR Codes,MIT
rspec,3.11.0,http://github.com/rspec,rspec-3.11.0,MIT
rspec-core,3.11.0,https://github.com/rspec/rspec-core,rspec-core-3.11.0,MIT
rspec-expectations,3.11.0,https://github.com/rspec/rspec-expectations,rspec-expectations-3.11.0,MIT
rspec-mocks,3.11.0,https://github.com/rspec/rspec-mocks,rspec-mocks-3.11.0,MIT
rspec-rails,4.0.1,https://github.com/rspec/rspec-rails,RSpec for Rails,MIT
rspec-support,3.11.0,https://github.com/rspec/rspec-support,rspec-support-3.11.0,MIT
rubocop,0.49.0,http://github.com/bbatsov/rubocop,Automatic Ruby code style checking tool.,MIT
ruby-cldr,0.5.0,http://github.com/ruby-i18n/ruby-cldr,Ruby library for exporting and using data from CLDR,MIT
ruby-progressbar,1.11.0,https://github.com/jfelchner/ruby-progressbar,Ruby/ProgressBar is a flexible text progress bar library for Ruby.,MIT
rubyntlm,0.6.3,https://github.com/winrb/rubyntlm,Ruby/NTLM library.,MIT
sass,3.7.4,https://sass-lang.com/,A powerful but elegant CSS compiler that makes CSS fun again.,MIT
sass-listen,4.0.0,https://github.com/sass/listen,Fork of guard/listen,MIT
sass-rails,5.1.0,https://github.com/rails/sass-rails,Sass adapter for the Rails asset pipeline.,MIT
sassc,2.4.0,https://github.com/sass/sassc-ruby,Use libsass with Ruby!,MIT
sdoc,2.0.3,https://github.com/zzak/sdoc,rdoc html with javascript search index.,MIT
shortener,0.8.2,http://jamespmcgrath.com/projects/shortener,Shortener is a Rails Engine that makes it easy to create shortened URLs for your rails application.,MIT
sidekiq-benchmark,0.7.1,https://github.com/kosmatov/sidekiq-benchmark/,"Adds benchmarking methods to Sidekiq workers, keeps metrics and adds tab to Web UI to let you browse them.",MIT
sidekiq-cron,1.2.0,http://github.com/ondrejbartas/sidekiq-cron,Sidekiq Cron helps to add repeated scheduled jobs,MIT
sidekiq-status,2.1.3,https://github.com/kenaniah/sidekiq-status,An extension to the sidekiq message processing to track your jobs,MIT
simple_oauth,0.3.1,https://github.com/laserlemon/simple_oauth,Simply builds and verifies OAuth headers,MIT
simplecov,0.17.1,http://github.com/colszowka/simplecov,Code coverage for Ruby 1.9+ with a powerful configuration library and automatic merging of coverage across test suites,MIT
simplecov-console,0.9.1,http://github.com/chetan/simplecov-console,Simple console output formatter,MIT
simplecov-html,0.10.2,https://github.com/colszowka/simplecov-html,Default HTML formatter for SimpleCov code coverage tool for ruby 1.9+,MIT
sinatra,2.1.0,http://sinatrarb.com/,Classy web-development dressed in a DSL,MIT
sprockets,3.7.2,https://github.com/rails/sprockets,Rack-based asset packaging system,MIT
sprockets-rails,3.4.2,https://github.com/rails/sprockets-rails,Sprockets Rails integration,MIT
ssrf_filter,1.0.7,https://github.com/arkadiyt/ssrf_filter,A gem that makes it easy to prevent server side request forgery (SSRF) attacks,MIT
streamio-ffmpeg,3.0.2,http://github.com/streamio/streamio-ffmpeg,Wraps ffmpeg to read metadata and transcodes videos.,MIT
swagger-docs,0.2.9,https://github.com/richhollis/swagger-docs,Generates swagger-ui json files for rails apps with APIs. You add the swagger DSL to your controller classes and then run one rake task to generate the json files.,MIT
taglib-ruby,1.1.0,http://robinst.github.io/taglib-ruby/,Ruby interface for the taglib C++ library,MIT
terminal-table,3.0.2,https://github.com/tj/terminal-table,"Simple, feature rich ascii table generation library",MIT
therubyracer,0.12.3,http://github.com/cowboyd/therubyracer,Embed the V8 JavaScript interpreter into Ruby,MIT
thor,1.2.1,http://whatisthor.com/,Thor is a toolkit for building powerful command-line interfaces.,MIT
tilt,2.0.10,http://github.com/rtomayko/tilt/,Generic interface to multiple Ruby template engines,MIT
tins,1.31.0,https://github.com/flori/tins,Useful stuff.,MIT
to_regexp,0.2.1,https://github.com/seamusabshere/to_regexp,Provides String#to_regexp,MIT
trailblazer-option,0.1.2,https://trailblazer.to/,Callable patterns for options in Trailblazer,MIT
transifex-interface-ruby,0.0.2,"",This gem allows you to communicate with the Transifex API to perform every possible actions listed in the documentation: http://docs.transifex.com/developer/api/,MIT
